toki pona, english
kulupu sinpin,head phrase
kulupu sitelen,alphabet (writing system)
kulupu sitelen,alphabet (writing system)
kulupu toki,forum
kulupu toki Jaju,list group Yahoo
kulupu utala,nelanties
KULUPU*,"vi form groups, get into groups n group, community, society, company mod communal, shared, public, of the society"
kute,vt hear
kute,mod hearing
kute,mod auditory
kute sona,understand (when hearing)
KUTE*,"vi listen, hear vt listen to, hear mod auditory, hearing"
LA*,separates adverb of context from sentence
lape,vi sleep mod sleeping
lape e tenpo ni,sleep now (at/ during this time)
lape li pona.,Sleep is good. Rest is good.
lape pi,rest from
lape pona!,Sleep well! Have a good night! Sweet dreams!
lape selo,n bed
LAPE*,"n sleep mod sleeping, of sleep vi sleep, rest"
laso jelo,mod green (yellowish-blue)
laso loje,mod purple (reddish-blue)
laso pimeja,mod dark blue
LASO*,"mod blue, blue-green"
lawa,n head
lawa,vt control
lawa,vt steer
lawa,mod main
lawa,n mind
lawa e ma ante ali,"vi be a superpower, be a hegemon, exert monopolistic influence in the international system"
lawa e pilin,"vphr to master one's feelings, to be composed"
lawa e tomo tawa,vi drive (a car)
lawa e tomo tawa,drive a car
lawa la,mainly
lawa lukin,"expression, mien, look"
lawa ma,n government vi vt govern
lawa nim,grammar
lawa pi jan utala,n control of the armed forces
lawa pi kalama nimi,phometics
lawa sewi,"mod haunting, magical, hallucinatory"
LAWA*,"n head, mind, law? mod main, leading, in charge, head vt lead, control, rule, steer, govern, protect?, guard?"
"lead, direct, help oneself to",lawa e
"leader of country, minister, governor",jan lawa ma
left (?) side,luka (pi) nanpa wan
len,n fabric
len,"clothed, dressed"
len,"clothe, dress, array, decorate"
len,"wear, be dressed in"
len anpa,"n trousers, underwear"
len ilo nanpa,internet
len jan,n somebody's clothes
len lawa,"n hat, hood, bonnet, headdress"
len lawa,hood
len lawa pi linja lawa,n wig
len li lon poka mi.,The clothes are at my side. The clothes are beside me.
len linja,"dhoti, lava-lava and the like"
len lipu,n flag
len luka,"n gloves, mittens"
len lupa,"curtains, screen"
len ni li kule seme?,What color is this article of clothing?
len noka,"n shoe, pants"
len noka palisa,trousers
len pi jan Lisa,Lisa's clothes
len pi jan Susan li jaki.,Susan's clothes are dirty
len pi loje en laso,red and blue shirt
len sewi,(dhoti as) ritual dress
len sina li telo ala telo? :: Are your clothes wet? ,
len sinpin,jacket
LEN*,"n clothing, clothes, article of clothing, cloth, fabric vt to clothe"
lesson,toki awen sona
lete,vt chill
lete,vt cool down
lete,n mod cold
lete,mod uncooked
lete kiwen,mod frozen
lete li lon :: it's cold ,
lete li lon. :: It's cold. ,
lete lili,cool
lete lili li kin lon. :: Here is it little cold too. ,
lete lili li lon. :: It's cool. ,
lete mute li lon. :: It's very cold. ,
LETE*,"n cold mod cold, uncooked vt cool down, chill, freeze"
letter :: pronounced as in ,
letter :: pronounced as in ,
"letter, punctuation mark",sitelen lili
li ante li kama telo,melt
li pakala pi soweli,hurt by an animal?
li pona ,it is good
li tawa...,Here is...
li X mute li X pi nanpa wan,most X
LI*,sep (between any subject except mi and sina and its verb
"life n ale, ali",
"life, existence",nasin
light color mod walo,
light green mod jelo,
light n suno,
lightness n walo,
like prep sama,
lili,mod few
lili,vt reduce
lili,mod small
lili ,"vt shorten, shrink vi shrink"
lili ala,"not young, old"
lili ala,mod old
lili mute,very few
lili taso,only a little
LILI*,"mod small, little, young, thin, a bit, short, less vt reduce, shorten, lessen vi shrink"
linja awen,length
linja lawa,n hair
linja lili oko,"n eyebrows, eyelashes"
linja luka,width
linja mi li telo.,My hair is wet.
linja pi ma seli,equator
linja pilin,nerve (wires)
linja pilin tan A tawa B,relationship between a and B
linja sewi,height
linja sinpin,"n beard, facial hair"
linja toki,sentence
linja uta,n moustache
linja uta,whiskers
LINJA*,"n (long, thin, floppy thing) rope, string, thread, cord, chain, line, hair"
lipu,list
lipu,n paper
lipu,n ticket
"lipu :: n flat and bendable thing, e.g. paper, card, ticket ",
"lipu :: paper, sheet, page, ticket, etc. ",
lipu (pi nanpa) n,the n of
lipu awen,text
lipu ijo,?
lipu ijo,mirror
lipu kasi,n leaf
lipu kili,leaf
lipu kiwen pi telo mama,cheese slice
lipu lawa,trumps
lipu lipu,book
lipu musi,cards
lipu musi mani,poker (other gambling games)
lipu musi nasa,"card tricks, cartomagy"
lipu musi pona,play cards in the family
lipu nasin,web page??
lipu nasin,instructional diagram
lipu ni li pilin lete.,This paper feels cold.
lipu Open,Genesis
lipu pali,workbooks? homework?
lipu pali,web site??
lipu pali,"home work, work sheets"
lipu pana,"messages, letters"
lipu pi jan lawa,king
lipu pi jan meli,queen
lipu pi jan pali,jack
lipu pi kama sin,newspaper
lipu pi lawa meli,queen
lipu pi mani musi,poker
lipu pi nasa musi,card tricks
lipu pi sitelen lon,mirror
lipu pi tawa kon,wing -- natural
lipu pi tenpo suno,diary web page
lipu sewi,holy book
lipu sona,encyclopedia
lipu suli pi telo kiwen,ice shelf
lipu toki,book
"lipu toki :: paper with written information, document, text, book ",
lipu toki sewi,"holy books, rweligious book"
lipu toki sewi Kolan,Quran
lipu toki sewi Pipija,Bible
lipu toki sewi Tola,Torah
lipu toki sin,translation
lipu Weka,Exodus
LIPU*,"n papers, sheet, page, leaf, pamphlet, card"
liquid n telo,
Lisensan :: Liechtenstein ,
listen vt kute,
little mod lili,
live in/at,awen lon
liver,insa pimeja
loje :: mod red ,
loje :: red ,
loje :: red ,
loje jelo,orange
loje jelo :: orange (yellowish red) ,
loje laso,purple
"loje laso (pimeja) :: (dark) blueish red, purple ",
loje walo,pink
"loje walo :: light red, pink ",
loje walo :: pink (whitish red) ,
LOJE*,mod red
lon,vi exist
lon,"vi wake up, awake"
lon,vi real
lon,vi true
lon,situation
lon,yes
lon,"present, here (adj)"
lon,"real, true"
lon,life (as a whole)``
lon,mod present
lon ,"correctness, truth"
lon (language) ,in (language)
lon ala,"vi be absent, not exist interj no"
lon ala,no
lon ala, false
lon ala,"falsehood, lie"
lon ali ma,all terrestrial life
lon anpa mani,under money:  ruled by it?
lon insa,inside
lon kulupu sama,kind of
lon la,"really, truly, actually, currently"
lon lawa mi,occur to me
lon li ni,because(?)
lon luka wan/ante ,one one/the other hand
lon mi la,"as for me, as far as I am concerned"
lon monsi,after (time)
lon monsi tenpo mute,after much time
lon ni,Here
lon ni la,Here
lon pi,be a part of
lon pi...,"yonder, there"
lon poka sinpin,in front of
lon poki,vt categorize
lon poki,categorize
lon pona lili,with difficulty
lon selo,on the outside of
lon sewi mani,above money
lon sina,"your life, your world"
lon tempo kama tan,after
"lon tenpo pi pali ala :: to be taking a sabbatical, break from work ",
lon tenpo pini tan,before
lon weka,be absent
LON*,"prep in, at, on vi be located (in, at, on), be there, be present, be real/true, be awake, exist n truth interj yes"
luka ike,mod left
luka linja,cubit
luka lipu,(insect) wings
luka lipu,"wing (bird, insect)"
luka luka :: 5 + 5 = 10 ,
luka luka luka :: 5 + 5 + 5 = 15 ,
luka luka tu :: 5 + 5 + 2 = 12 ,
luka luka tu tu :: 5 + 5 + 2 + 2 = 14 ,
luka luka tu wan :: 5 + 5 + 2 + 1 = 13 ,
luka luka wan :: 5 + 5 + 1 = 11 ,
luka mi li jaki. mi wile telo e ona. :: My hands are dirty. I want to wash them. ,
luka open,right hand
luka pi luka pi luka pi nimi,125 words
luka pini,left hand
luka sike,"embrace, hug"
luka tawa,"cradle, lull"
luka tu :: 5 + 2 = 7 ,
luka tu anu lili,seven or less
luka tu tu :: 5 + 2 + 2 = 9 ,
luka tu wan :: 5 + 2 + 1 = 8 ,
luka wan :: 5 + 1 = 6 ,
luka wawa,behind(?)
luka wawa,right hand
luka wawa ala,in front?
luka wawa ala,left hand
LUKA*,"n arm, hand mod five vt hold on to(?), grasp(?)"
lukin,vt look at
lukin (e X tawa Y),show X to Y
lukin awen,?
lukin e,"look after, tend"
lukin e sina,"see you, look at you"
lukin e toki :: read ,
lukin jo,"seek, search"
lukin jo e pali :: to be looking for a job ,
lukin la,"apparently, obviously, clearly"
lukin pi tomo poka,views of nearby buildings
lukin sama,vt look like
lukin sama,look like
lukin sona,study
lukin sona,test (of knowledge) exam
lukin sona,"see in your mind, picture to yourself, imagine"
lukin tawa,look at
lukin tawa sina,"look for (seek) you, look in your direction, look in your behalf"
lukin toki,read
lukin tu,meet
lukin wawa,examine
lukin wawa,stare at
LUKIN*,"vt see, look at watch, read vi look, watch out, pay attention mod aware, attentive, visual n vision, sight, ?gaze"
lunar mod mun,
lung,insa kon
Lunpan :: Lebanon ,
lupa,n door
lupa,n window
lupa,n orifice
"lupa :: hole, orifice ",
"lupa :: hole, orifice ",
"lupa :: hole, orifice, door, window ",
"lupa :: n hole, orifice, window, door ",
"lupa (meli) :: vagina, pussy ",
"lupa (tomo) :: window, door ",
lupa jaki :: anus ,
lupa kute,ear
lupa kute :: ear ,
lupa lon,gates of/to
lupa meli,n vagina
lupa meli li mama ale.,A woman's womb is the mother of all things.
lupa monsi :: anus ,
lupa monsi :: anus ,
lupa nena :: nostrils ,
lupa ni li suli. :: That hole is big. ,
lupa palisa monsi,tailpipe
lupa pi ko jaki,asshole
lupa pi nena,pass
lupa pi telo jelo :: urethra ,
lupa sijelo monsi,anus
lupa sinpin,front door
lupa tomo monsi,back door
LUPA*,n hole
Lusepu :: Luxemburg ,
Luwanta :: Rwanda ,
m lon n,n/m fraction
m lon wawa n,m to the power n
M pi nanpa (number or numeral n),n Ms
ma,n country
ma,n earth
ma,ecology
ma,n land
ma,nature
ma ,kingdom
ma Akanisan,Afghanistan
ma Alan,Ireland
ma Alensina,Argentina
ma ali,the earth
ma ali,the world
ma ali li pona.,All nations are good.
ma Amelika,the Americas
ma Amelika lete,North America
ma Amelika seli,South America
ma Anku,Korea
ma Antasika,Antarctica
ma Antola,Andorra
ma Apika,Africa
ma Asija,Asia
ma Awisi,Haiti
ma Ekato,Ecuador
ma Elena,Greece
ma Elopa,Europe
ma Elopa li weka tan ma Mewika.,Europe is far from the USA>
ma Epanja,Spain
ma Esi,Estonia
ma Esuka,Basque country
ma ike,n Hell
ma Ilakija,Iraq
ma Ilan,Iran
ma Inli,England
ma Intonesija,Indonesia
ma Isale,Israel
ma Isilan,Iceland
ma Italija,Italy
ma Jamanija,Yemen
ma Kalalinuna,Greenland
ma kama anpa suno,Occident
ma kama anpa suno,west
ma kama sewi suno,Orient
ma Kana,Ghana
ma Kanata,Canada
ma Kanse,France
ma kasi,n forest
ma kasi,"n forest, jungle, meadow, field, park, garden"
ma Katala,Qatar
ma Katelo,Georgia (country)
ma Katemala,Guatemala
ma Kenata,Grenada
ma Kepeka,Quebec
ma Keposi,Cyprus
ma Kilipasi,Kiripati
ma Kinla,Wales
ma Konko (pi ma tomo Kinsasa),"Congo, Dem. Rep. "
ma Kosalika,Costa Rica
ma Kosiwa,Côte d'Ivoire
ma Kupa,Cuba
ma Kusala,Gujarat
ma Kuwasi,Kuwait
ma Lanka,Sri Lanka
ma Latija,?
ma lawa ,nation
ma li ike monsi jan,?
ma li lon anpa mi.,The land is beneath me.
ma Lipija,Libya
ma Lomani,Romania
ma lon telo,n island
ma Losi,Russia
ma Lowasi,Croatia
ma Lowenki,Slovakia
ma Lowensina,Slovenia
ma Maketonija,Macedonia
ma Malakasi,"Madagascar, Malagasy"
ma Malasija,Malaysia
ma Malawi,Malawi
ma Mali,Mali
ma Malipe,Morocco
ma mama,Nature
ma Masija,Hungary
ma Masu,Egypt
ma Mesiko,Mexico
ma Mewika,"USA, America, United States"
ma Mewika li weka ala tan ma Kupa.,The USA is not far from Cuba.
ma mi li pimeja.,My land is dark.
ma Mijama,Myanmar
ma Motowa,Moldova
ma Mulitanija,Mauritania
ma musi,theme park?
ma Namipija,Namibia
ma Naselija,Nigeria
ma nena,"mountainous area, the mountains"
ma Netelan,the Netherlands
ma Nijon,n Japan
ma Nise,Niger
ma Nosiki,Norway
ma Nusilan,New Zealand
ma Ontula,Honduras
ma Osalasi,Austria
ma Oselija,Australia
ma Pakisan,Pakistan
ma Palakawi,Paraguay
ma Palani,Bahrain
ma Palata,India
ma pan,cornfield
ma Panama,Panama
ma Panla,Bangladesh
ma Papeto,Barbados
ma Papuwanijukini,Papua New Guinea
ma Pasila,Brazil
ma Pawama,Bahamas
ma Pelalusi,Belarus
ma Pelija,Belize?
ma Pelu,Peru
ma Pemuta,Bermuda
ma Penesuwela,Venezuela
ma Penin,Benin
ma Pesije,Belgium
ma pi ijo jaki,"n dump, landfill (yucky-things place)"
ma pi ike ale,hell
ma pi kama jo ijo mute,market
ma pi kasi lili,"n field, yard, lawn"
ma pi kasi moku,orchard
ma pi kasi palisa,forest
ma pi pona ale,heaven
ma pi sona tawa,?internet?
ma pi suno kama,east
ma pi suno sewi,equatorial regions
ma pi suno sewi,east
ma pi suno weka,west
ma Pilisin,Palestine
ma Pisi,Fiji
ma Piten,"Britain, the UK"
ma Pokasi,Bulgaria
ma pona,n the Promised Land (good land)
ma Posan,Bosnia and Herzegovina
ma Posuka,Poland
ma Potuke,Portugal
ma Samalino,San Marino
ma Sameka,Jamaica
ma Samowa,Samoa
ma Sasali,Algeria
ma Sawa,Java (country)
ma Sawasi,Swaziland
ma Seki,Czech (Republic)
ma seme li pona tawa sina? :: Which countries do you like? ,
ma Seneka,Senegal
ma Setapika,South Africa
ma sewi,Heaven
ma sewi pona,n Heaven
ma sike,the world (physical/political)
ma Sile,Chile
ma sina :: your country ,
ma Sinita,Trinidad and Tobago
ma Sipusi,Djibouti
ma sona,n geology
ma Sonko,China
ma Sopisi,Serbia
ma Sukosi,Scotland
ma suli,"n continent, large country"
ma Sulija,Syria
ma Sumi,Finland
ma supa,plains
ma Sutan,Sudan
ma Suwasi,Switzerland
ma Tansi,Denmark
ma Tawi,Thailand
ma telo,swamp? tar?
ma telo,"n swamp, mud adj swamp"
ma telo jaki,"mud, slops"
ma Toko,Togo
ma Tominika,Dominican Republic
ma tomo,"n town, city"
ma tomo Akajela :: Cairo (Egypt) ,
ma tomo Alana :: Atlanta (USA) ,
ma tomo Alawa,Ottawa (Canada)
ma tomo Alawa :: Ottawa (Canada) ,
ma tomo Alenta :: Atlanta ,
ma tomo Alipasi :: Halifax (Canada) ,
ma tomo Anpu :: Hamburg (Germany) ,
ma tomo Ansetan :: Amsterdam (Netherlands) ,
ma tomo Asina :: Athens (Greece) ,
ma tomo Ele :: Los Angeles (USA) ,
ma tomo Esupo :: Espoo (Finland) ,
ma tomo Iwesun :: Hilversum (Netherlands) ,
ma tomo Kakawi :: Calgary (Canada) ,
"ma tomo Kenpisi :: Cambridge (USA, GB) ",
ma tomo Kunte :: Bangkok (Thailand) ,
ma tomo Lantan li suli. :: London is big. ,
ma tomo Lanten :: London (England) ,
ma tomo lawa :: capital ,
ma tomo Lesinki :: Helsinki (Finland) ,
ma tomo Loma :: Rome ,
ma tomo Loma :: Rome (Italy) ,
ma tomo Manten :: Moncton (Canada) ,
ma tomo Mesiko :: Mexico City (Mexico) ,
ma tomo Milano :: Milan (Italy) ,
ma tomo Minsen :: Munich (Germany) ,
ma tomo Monkela :: Montreal (Canada) ,
ma tomo mute pona,park
ma tomo Napoli :: Naples (Italy) ,
ma tomo Nujoka :: New York City (USA) ,
ma tomo Osaka :: Osaka (Japan) ,
ma tomo Paki :: Paris (France) ,
ma tomo Pasen :: Boston (USA) ,
ma tomo Pelin :: Berlin ,
ma tomo Pelin :: Berlin (Germany) ,
ma tomo Peminan :: Birmingham (England) ,
ma tomo Pesin,"Beijing (Peking), China"
ma tomo Pilense :: Florence (Italy) ,
ma tomo Polan :: Portland (USA) ,
ma tomo Putapesi :: Budapest (Hungary) ,
ma tomo Sakata :: Jakarta (Indonesia) ,
ma tomo Sanpansiko :: San Francisco (USA) ,
ma tomo Sawi :: Sackville (Canada) ,
ma tomo Sene :: Geneva (Switzerland) ,
ma tomo Sensan :: St. John's (Canada) ,
ma tomo Sesija :: Shediac (Canada) ,
ma tomo Sije :: Dieppe (Canada) ,
ma tomo Solu :: Seoul (South Korea) ,
ma tomo Tanpele :: Tampere (Finland) ,
ma tomo Telawi :: Tel Aviv (Israel) ,
ma tomo telo,"n port, harbor"
ma tomo Tokijo :: Tokyo (Japan) ,
ma tomo Towano :: Toronto (Canada) ,
ma tomo Tuku :: Turku (Finland) ,
ma tomo Wankuwa :: Vancouver (Canada) ,
ma tomo Wenesija :: Venice (Italy) ,
ma Tona,Tonga
ma Tosi,Germany
ma Tuki,Turkey
ma Tunisi,Tunisia
ma Tuwalu,Tuvalu
ma Ukanta,Uganda
ma Ukawina,Ukraine
ma Ulukawi,Uruguay
ma Uman,Oman
ma Utun ,Jordan
ma Wanuwatu,Vanuatu
ma Wasikano,Vatican
ma Wensa,Sweden
MA*,"n country, land, region, area (outdoor)"
mama ma,Nature (personified)
mama mama,n grandparent
mama meli,"n mother, mom"
mama mije,"n father, dad"
mama ona li kepeken e kasi nasa.,His mom spoked pot. His mother used marijuana.
MAMA*,"n parent mod parental, maternal, fatherly, of the parent"
mani,"n dollar, yen, yuan, etc."
mani pi ma ante,n foreign currency
MANI*,"n money, currency, wealth, dollar, capital (finance)"
map,sitelen ma
meli,n female mod female
meli (insa),"n person who identifies as female, e.g. male-to-female transsexual person "
meli (olin),"n wife, girlfriend"
meli en mije,n gender
meli en mije li kama wan,marry
meli jan,woman
meli lawa olin mi,n my sweetheart
meli li lon sewi mije,mod woman-on-top (of man...?)
meli lili,n girl
meli lili,n daughter
meli mi pi nanpa wan li nasa. :: My first girlfriend was crazy. ,
meli mije,"n masculine girl, butch, tomboy"
meli sama,n sister
meli suli,n old woman
meli suwi,n dear lady
meli unpa,n female sexual partner
MELI*,"n woman, female, girl, wife, girlfriend mod female, feminine, womanly"
meli/mije insa,n transsexual
mi,mod my
mi a,"I'm damned, I'm lost"
mi anpa e jan utala.,I defeated the warrior.
mi en meli mi li wan.,My girlfriend and I got married.
mi en sina li jan pona.,You and I are friends.
mi jan li suli.,I am somebody and am important.
mi jan Pepe.,I am Pepe.
mi jan pi toki pona.,I am a Toki Ponan.
mi jo e ilo.,I have a tool.
mi jo e kili.,I have a fruit/vegetable.
mi jo e tomo tawa tu.,I own two cars.
mi kalama kepeken ilo. ,I make noise using an instrument. I play a musical instrument
mi kama e pakala.,I caused an accident.
mi kama jo e telo. :: I got the water. ,
mi kama tan ma Elopa. :: I come from Europe. ,
mi kama tan ma Mewika. :: I come from America. ,
mi kama tan ma tomo Pelin. :: I'm from Berlin. ,
mi ken ala ken pilin e monsi sina? :: may I touch your butt? ,
mi ken ala kute e toki sina. :: I can't hear your talking. ,
mi ken ala lape. :: I can't sleep. ,
mi ken ala. mi kin moku.,I can't
mi kepeken e ilo. :: I'm using tools. ,
mi kepeken e poki e ilo moku. :: I'm using a bowl and a spoon. ,
mi kepeken e poki ni. :: I'm using that cup. ,
mi kin lukin e ona.,I see it indeed. I *do* see it!
mi kin olin e sina. :: I still love you. / I love you too.,
mi kin wile tawa tomo mi. :: I still want to go to my house. ,
mi kule e lipu :: I'm coloring the paper. ,
mi kute e kalama musi. :: I'm listening to music. ,
mi kute e toki sina. :: I hear your talking. ,
mi la,"as for me, as far as I am concerned"
mi lape ala.,I'm awake. I'm not sleeping.
mi lape la ali li pona.,"When I'm asleep, everything is good."
mi lawa pona e jan.,I lead people well. I'm a good leader.
mi lon e sina.,I made you aware of reality. I forced you to be present and alert.
mi lon ma kasi.,I'm in the forest.
mi lon tan seme?,Why am I here?
mi lon tomo.,I'm in the house. I'm in the building.
mi lon.,"Yes, I do. I'm here. I exist. Present! etc."
mi lukin e ma poka jan pona mi.,I look at the land with my friend. I survey the land with my friend. I look at the countryside with my friend.
mi lukin e ma. ni li pona tawa mi.,I'm enjoying watching the countryside. I like looking at the countryside.
mi lukin e ni.,I'm looking at that. I'm watching this.
mi lukin sewi e tomo suli.,I looked up at the big building.
mi lukin taso e meli ni! ali li pona.,I only looked at that girl! Everything's okay.
mi moku lon poka pi jan pona mi.,I ate beside/with my friend.
mi moku lon tomo.,I eat in the house.
mi moku mute. sina moku lili.,I eat more than you.
mi moku tan ni: mi wile moku.,I eat because I'm hungry.
mi moku.,I'm eating. I am food.
mi musi ala,I'm not having fun. I'm bored.
mi musi taso.,I'm just joking. Just kidding.
mi mute,n us
mi mute li lukin lili e ona. :: We barely saw it. ,
mi mute li moku e telo nasa mute. :: We drank a lot of vodka. ,
mi mute li pana e moku tawa ona mute. :: We gave them food. ,
mi mute o moku e kala. :: Let's eat fish. ,
mi mute o musi. :: Let's have fun. ,
mi mute o tawa weka.,Let's get out of here.
mi mute o tawa.,Let's go.
mi mute o tawa.,Let's go.
mi mute o tawa. :: Let's go. ,
mi olin e sina :: I love you ,
mi olin e sina. :: I love you. ,
"mi pali mute la mi pilin ike. :: When I work a lot, I feel bad. ",
mi pali taso. :: I just work. (All I ever do is work.) ,
mi pana e ko jaki.,I crapped.
mi pana e sona pi toki pona tawa ona.,I teach her in/about toki pona.
mi pana e telo jelo.,I peed. I urinated.
mi pana e tomo tawa sina.,I give you a houzse/ I brought your car
mi pilin ante sin,I don't agree with you
mi pilin e ni: ona li jo ala e mani.,I think he doesn't have money. I think he's broke.
mi pilin e ni: sina ike.,You seem bad.
mi pilin e seli sijelo sina.,I feel your body heat. I feel your bodily warmth.
mi pilin ijo.,I'm thinking about something.
mi pilin ike.,I feel bad. I feel sad. I'm feeling down.
mi pilin lete.,I'm cold.
mi pilin pi meli ni.,I'm thinking about that woman.
mi pilin pona.,I feel good. I feel happy.
mi pilin sama sina.,I agree with you.
mi pini e lape sina.,I woke you up. I ended your sleep. I interrupted your nap.
mi pona ala pona tawa sina?,Do you like me?
"mi pona e ali mi, la mi pona e mi.","When I improve all areas of my life, I am improving myself."
mi pona e ijo.,I'm fixing something.
mi pona e ilo suno kepeken ilo lili.,I fixed the flashlight using a small tool.
mi pona e tomo tawa jan pakala.,I fixed the house for the disabled man.
mi pona tan ni: mi lon.,I'm okay because I'm alive.
mi pona.,I'm good. I'll be okay. I'm fine.
mi pona. taso meli mi li pakala.,"I'm okay, but my girlfriend is injured."
mi sewi,I win
mi sona ala e nimi pi ona mute.,I don't know their names. I don't know what they're called.
mi sona ala e tan.,I don't know why. I don't know the reason.
mi sona e ni taso.,That's all I know. I know only that.
mi sona pona e ona,"no problem, OK"
mi suli mute. sina suli lili.,I'm bigger than you.
mi suli.,I'm important. I'm fat.
mi taso li lon.,I'm alone.
mi tawa e kiwen.,I'm moving the rock.
mi tawa ma Elopa.,I went to Europe. I've been to Europe. I'm going to Europe.
mi tawa supa lape.,I'm going to bed.
mi tawa tomo mi.,I'm going home. I'm going to my house. I'm headed home.
mi tawa tomo toki. ona li pona tawa mi.,Going to the chat room is good for me.
mi tawa!,I'm going. Bye! Goodbye!
mi telo e mi lon tomo telo.,I take a shower/bath in the restroom.
mi toki jan.,I talked about people.
mi toki lon jan X,I talk about X
mi toki pi jan ike.,I talked about bad people.
mi toki pi jan X,I am the speech/story of X
mi toki sama jan X,I talk like X
mi toki tawa sina.,I'm talking to you.
mi tu,"us both, we two, the two of us"
mi utala ike.,I fight badly.
mi weka e ijo tu ni.,I got rid of those two things. I threw those two (objects) out.
"mi weka e ike jan, la mi weka e ike mi.","When I forgive someone's wrongdoings, I cleanse myself of negativity."
mi weka.,I was away. I wasn't there.
mi wile ala e ijo. mi lukin taso.,I don't want anything
mi wile ala pali.,I'm lazy.
mi wile ala tawa musi.,I don't want to dance.
mi wile ala toki pi kalama musi.,I don't want to talk about music.
mi wile ala toki tawa sina.,I don't want to talk to you.
mi wile e ilo moku.,I need a fork.
mi wile e moku e telo.,I want food and water.
mi wile e ni: jan Kolin li pilin pona.,I want Colin to be happy
mi wile e ni: mi lon tomo.,I want to be at home. I wish I were at home. I have to be home.
mi wile e ni: sina pali e ni,You have to/must do this
mi wile e sitelen ma.,I want the map.
mi wile e soweli lili.,I want a puppy.
mi wile e suwi sin!,I want more cookies. I want another cookie.
mi wile e suwi!,I want a cookie!
mi wile kama sona e toki Inli.,I want to learn English.
mi wile lon tomo.,I want to be at home. I want in a house.
mi wile lukin e ma ante. :: I want to see other countries. ,
mi wile lukin e ma e suno. :: I want to see the land and the sun. ,
mi wile lukin e ma.,I want to see the countryside.
mi wile lukin e tomo mi. taso mi lon ma ante.,"I want to see my house, but I'm in a different country."
mi wile moku e kili loje. :: I want to eat a red fruit. ,
mi wile moku e waso.,I want to eat chicken.
mi wile moku. taso mi jo ala e moku. :: I want to eat. But I don't have food. ,
mi wile pakala e sina. :: I must destroy you. ,
"mi wile pali kepeken nimi ""lon"". :: I need more exercises with ""lon"". ",
mi wile pana e ko jaki.,I need to crap.
mi wile pana e telo jelo.,I need to pee.
mi wile sin e telo pi lape ala.,I need more coffee.
mi wile tawa ma Tosi.,I want to go to Germany.
mi wile tawa tomo ona kepeken tomo tawa mi. :: I want to go to his house using my car. ,
mi wile tawa weka.,I want to leave.
mi wile tawa. taso mi ken ala.,"I'm stuck here. I want to go, but I can't."
mi wile toki meli. :: I want to talk about girls. ,
mi wile unpa e ona.,I want to have sex with him/her.
mi wile unpa e sina.,I want to have sex with you.
MI*,"n I, we mod my, our"
"mije (insa) :: person who identifies as male, e.g. female-to-male transsexual person ",
"mije (olin) :: husband, boyfriend ",
mije lawa olin mi,My Man
mije li lon sewi meli,n missionary position (man-on-woman...?)
mije lili,n son
mije meli,"n feminine guy, effeminate guy"
mije pona en mije  ike,"good men and bad ones, good and bad men"
mije pona en ona ike = ,"good men and bad ones, good and bad men"
mije sama,n brother
mije unpa,n male sexual partner
MIJE*,"n man, husband, boyfriend mod male, masculine, manly"
moku (kiwen) pi telo mama,cheese
moku ala (tawa pona),fast
moku ali,"devour, eat completely"
moku e kasi nasa,drink (smoke) weed
moku e kon nasa,inhale (smoking)
moku e kon nasa,"smoke weed (inc, tobacco)"
moku e kon pi kasi jaki,smoke (v) (a cigar?)
moku e telo,vi drink
moku e telo nasa,"vi drink, drink alcohol"
moku kiwen,bread
moku lete suwi,ice cream (etc.)
moku li lon insa mi.,I'm full. Food is in my stomach.
moku li pona tawa ona.,He loves to eat.
moku li pona.,The food is good. Eating is healthy.
moku lili,"vi nibble n snack, small digestible item, pill"
moku lili pi pilin pona mute,"n strong euphoric drug taken orally, e.g. MDMA"
moku linja,noodles
moku pi moli ala,"amrit, ambrosia"
moku pimeja suwi,chocolate
moku pona!,Bon appétit! Enjoy your meal! Yum!
moku suwi,"n sweets, candy, chocolate"
moku telo,"n liquid food, e.g. soup, broth"
moku tomo,n restaurant
moku walo,"n whiteish food, e.g. rice"
MOKU*,"n meal, food, drink vt ingest, eat, drink, swallow, consume"
moli,vi die
moli ala,life
moli tawa jan sewi,sacrifice
MOLI*,"mod dead, deadly, fatal n death vt kill vi die"
monsi,before
monsi linja,n tail
MONSI*,"n back, rear, butt, ass, behind mod back, rear"
mu jan,gibber
MU*,"interj cute animal noise, e.g. meow, woof, grr, moo, rowr"
multiplication (?),pali nanpa tenpo
"multiplication, multiplier",pali mute nanpa
"multiply, increase",pali mute
mun,satellite
mun li pimeja (ale).,It's new moon.
mun li pimeja e suno.,A solar eclipse is happening.
mun li sike (ale),It's full moon.
mun nanpa luka luka wan,November
mun tenp wan,January
mun tenpo,month
MUN*,n moon mod lunar
mushroom,kili lili lawa
musi,vt entertain n entertainment
musi,game
musi,joke
musi ala,"vi not have fun, be bored"
musi ike,"vi cheat, not play fair, play dirty"
musi mani,n gambling?
musi noka la ma Tosi li anpa e ma Mewika.,"In football, Germany defeats America"
musi pilin,?interesting
musi pona,hobby
musi pona,game
musi pona!,Have fun! Enjoy! Have a good time!
musi sijelo,"n athletics, exercise, physical fitness activities"
musi sike,ball game (prob. soccer)
musi toki,joke
