toki pona, english
ilo pi sitelen tawa,tv
ilo pi sitelen toki,"n pen, pencil, writing instrument"
ilo pi sitelen toki,"pen. pencil, etc."
ilo pi suno sin,mirror
ilo pi tawa kon,wings
ilo pi tawa kon,wing
ilo pi tawa pi telo loje,heart (organ)
ilo pi toki suli,"microphone, loudspeaker"
ilo pi tu ijo,cutting tool
ilo sewi,"ritual device, spec.mala, rosary"
ilo sitelen,"bruch, pen, pencil, etc."
ilo sitelen,"typewriter, keyboard?"
ilo sona,n mod computer
ilo sona,"computer (knowledge-tool), smart machine/device"
ilo sona,computer
ilo sona kulupu,Internet (community knowledge-tool)
ilo sona tawa,laptop computer
ilo sona tawa,internet
ilo sona tawa,computer
ilo sona tawa,laptop
ilo suno,"n flashlight, torch"
ilo suno,"n flashlight, torch, lamp"
ilo suno,"lamp, flashlight, light"
ilo tawa kon,wings
ilo tawa pi sike tu,bicycle
ilo tawa supa pi sike tu,recumbent bicycle
ilo toki,"n communications device, telephone, online chat"
ilo toki tawa,n cell phone
ilo tu lili,jacknife
ilo unpa,n sex toy
ilo utala,"weapon, sword"
ilo utala palisa kasi,bow and arrow
ilo wan ma,n Internet
ilo wan ma,internet
ilo waso lipu,kite
ILO*,"n tool, device, machine, thing used for specific purpose"
"in the habit of,  accustomed to",pali + verb
indirect question,like indirect quote: toki e ni: S?
insa,"n stomach, heart"
insa (A en B),between
insa ala,outside of
insa ala,"prep outside, beyond"
insa e ijo,vt swallow
insa kon,lung
insa lawa,n brain
insa lawa,brain
insa loje,liver
insa ma,on earth
insa nasin utala,be enemies
insa pimeja,liver
INSA*,"n center, inside, stomach, inner world, stoach mod inner, internal, central"
jaki ala,clean
jaki!,"interj yucky, gross, eww"
JAKI*,"n trash, rubbish, garbage, dirt, pollution, filth mod dirty, nasty, gross, filthy vt pollute, soil, dirty, sully"
jan,n being
jan,n somebody
jan (mi),"atman, self"
jan (pi pali) moku,"n chef, cook"
jan (pi pali) unpa,"n sex worker, prostitute"
jan ala li toki.,Nobody is talking.
jan ali,"n everyone, everybody"
jan ali li wile tawa.,Everybody wants to travel.
jan Ana o pana e moku tawa mi.,"Anna, give me food."
jan Epi o a!,"Oh, Abbie!"
jan Eta li jan unpa.,Heather is a whore.
jan ijo,any man
jan ike,"n enemy, adj enemy"
jan ike,"bad person, enemy, foe, jerk, negative person"
jan ike li kama la o seli e lipu ni.,"If the enemy comes, burn these papers."
jan ike li utala e ona mute.,An enemy is attacking them.
jan ike ni li jo e len nasa.,That bad person has strange clothes.
jan ike pi tomo tawa telo,"pirate, Viklng"
jan ilo,robot
jan jaki,infected person (plague)
jan jelo laso lili li kama tan sewi.,A little green person came from the sky.
jan kala,n mermaid
jan kala,mermaid
jan Kanata,n Canadian
"jan Keli o, sina pona lukin.","Kelly, you are pretty."
"jan Ken o, mi olin e sina.","Ken, I love you."
"jan Ken o, pipi li lon len sina.","Ken, a bug is on your shirt."
jan kiwen,statue (of a person)
jan Kolin li toki e ni: li pilin pona.,Colin says he feels good
jan Kolisu,n Christian
jan kon,spirit
jan kon,"spiritual being, "
jan kulupu,n group member
jan lawa,"n leader, boss, master, chairperson, director, president, head of state, mayor, king(?)"
jan lawa ala,"n non-chief, commoner(?), ordinary citizen(?)"
jan lawa li moku e telo jaki.,The leader drank dirty water.
jan lawa li wan e meli e mije,marry
jan lawa ma,"n president of country, governor of state, premier of province, head of state"
jan lawa pi jan utala,"n leader of soldiers/army, commander, general"
jan lawa pi ma tomo,"n mayor, city leader"
jan lawa pi tomo tawa kon,"leader of airplanes, a pilot "
jan lawa pi tomo tawa telo,captain of a ship
jan lawa sewi,"priest, shaman"
jan lawa sewi,Pope
jan Lesi,"Brittany, Breton"
